"Index" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "DWDP" "XOM" "GE" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "WMT"
1994-06-30 10.434458 4.196824 0.379329 13.580362 4.43431 6.462754 1.056485 3.879831 9.879417 5.861816 4.496699 2.522788 6.014483 8.78144 2.232724 5.165563 4.796954 8.494049 5.977443 2.360708 0.205163 1.539747 5.460881 9.073646 2.613057 4.782571 6.471675 8.092665
1994-07-29 11.17039 4.45222 0.482213 13.103213 4.91388 6.848589 0.949142 4.23797 10.111712 6.198055 4.714602 2.725693 5.836009 9.248542 2.26536 5.662543 4.781381 7.97926 5.95233 2.354992 0.211172 1.512306 5.853553 9.66725 2.450377 4.822316 6.729544 8.342957
1994-08-31 11.777672 4.725233 0.573445 13.510255 5.231271 6.682459 1.121456 4.393165 9.84326 6.736042 4.952835 2.691875 6.460661 10.403928 2.51388 6.188998 4.828105 8.347643 6.85648 2.65794 0.221044 1.831038 6.391662 9.780316 2.766481 5.537717 6.506711 8.246494
1994-09-30 11.804375 5.103252 0.533829 12.842162 4.908212 6.564185 1.237274 4.72374 9.246696 7.203392 4.786354 2.724463 6.021229 10.574798 2.351386 6.389636 4.529323 7.793594 7.285023 2.566485 0.225761 1.854513 6.260417 9.35843 2.723 5.617206 6.298736 7.827885
1994-10-31 11.831084 5.322196 0.684371 13.02774 5.477382 7.096416 1.361567 4.893746 9.481853 6.766122 5.233771 2.766923 6.522995 11.315228 2.415146 6.744618 4.917549 8.532327 7.285023 2.880864 0.231953 1.988655 6.752304 10.049514 2.739307 5.590709 6.410498 7.869742
1994-11-30 11.134634 5.106722 0.644413 13.477832 4.961733 7.025653 1.45761 5.042611 10.442042 5.891593 5.283398 2.604162 6.630518 10.893882 2.454023 6.737391 4.707261 8.419419 7.617317 2.875149 0.243384 2.247586 6.712031 9.502406 2.726967 5.047536 6.135103 7.814316
1994-12-30 11.596313 5.222271 0.674687 14.116056 5.053401 7.186698 1.587552 5.0796 11.042157 6.372541 5.316213 3.034994 6.620479 11.317314 2.483179 6.910954 4.816791 8.679049 7.92432 2.795124 0.324695 2.243954 6.658336 10.483394 2.930907 4.782571 6.089208 7.14212
1995-01-31 11.379055 5.576326 0.698474 13.365205 4.794113 7.186698 1.508457 5.17823 12.273262 5.910589 5.469353 3.06475 6.728419 11.105596 2.734527 7.336972 5.236372 9.680479 8.366003 2.7151 0.308923 2.374671 7.155181 11.244759 2.995002 5.140272 6.848607 7.68828
1995-02-28 12.106779 5.952506 0.740183 14.003428 4.81744 7.824689 1.525406 5.424814 12.876366 6.348848 5.870334 3.258157 6.483623 11.744151 3.143475 7.309926 5.387421 9.901797 8.807688 2.880864 0.31273 2.609395 7.30625 11.391174 3.291288 4.557354 6.769709 7.982363
1995-03-31 12.85309 6.173786 0.660543 16.318359 5.17904 7.886305 1.723144 5.650022 12.906521 7.13966 6.123069 3.364629 6.39332 12.817123 3.345486 7.664147 5.248528 10.16237 8.98728 3.252404 0.365658 2.695853 7.278777 12.083065 3.427651 4.980097 6.675025 8.647321
